PLOT,SPECIES,DIAMETER,STATUS,SPROUTS
1,ACRU,5.9,D,S1
1,PIST,48.1,L,NA
1,PIST,48.7,L,NA
1,PIST,47.2,L,NA
1,PIST,50.3,L,NA
1,PIST,50,L,NA
1,TSCA,25.1,D,NA
1,TSCA,16.2,D,NA
1,TSCA,17.7,D,NA
1,TSCA,19.5,D,NA
1,TSCA,12.2,D,NA
1,TSCA,27.7,D,NA
1,TSCA,7,D,NA
1,TSCA,11.9,D,NA
1,TSCA,29.6,D,NA
1,TSCA,25.9,D,NA
1,TSCA,55.5,L,NA
1,TSCA,45.3,L,NA
1,TSCA,16.8,L,NA
1,TSCA,4.8,L,NA
1,TSCA,3.4,L,NA
1,TSCA,17.8,L,NA
1,TSCA,20.3,L,NA
1,TSCA,32.1,L,NA
1,TSCA,12.1,L,NA
1,TSCA,27.2,L,NA
1,TSCA,5.9,L,NA
1,TSCA,4.9,L,NA
1,TSCA,20.1,L,NA
1,TSCA,31.1,L,NA
1,TSCA,23.8,L,NA
1,TSCA,36,L,NA
1,TSCA,5.1,L,NA
1,TSCA,28.6,L,NA
1,TSCA,32.5,L,NA
1,TSCA,41.1,L,NA
1,TSCA,34.7,L,NA
1,QUAL,16.2,L,NA
1,QUAL,16.8,D,NA
1,QURU,49.2,L,NA
1,ACRU,9.4,L,NA
1,ACRU,27.3,L,NA
1,ACRU,23.2,L,NA
1,ACRU,21.3,L,NA
1,ACRU,18.1,L,NA
1,ACRU,21.2,L,NA
1,ACRU,14.4,L,NA
1,ACRU,25,L,NA
1,ACRU,25.4,L,NA
1,BEPA,13.5,L,NA
1,PIRU,30,L,NA
1,UN,14.8,D,NA
1,PIST,66.7,L,NA
2,ACRU,16.2,L,S11
2,ACRU,5,D,S4
2,ACRU,3.5,L,S4
2,QURU,5.6,L,NA
2,BEPA,24.5,L,NA
2,BEPA,15.2,L,NA
2,ACRU,18.6,L,S12
2,ACRU,8.6,L,S12
2,ACRU,9.6,L,S11
2,ACRU,4.2,D,S10
2,ACRU,7.8,D,S10
2,ACRU,18.7,L,S10
2,ACRU,20.8,L,S10
2,ACRU,5.8,L,NA
2,ACRU,10.8,L,NA
2,ACRU,14.1,L,NA
2,ACRU,11,L,S9
2,ACRU,19.1,L,S9
2,ACRU,18.6,L,S8
2,ACRU,13.5,L,S8
2,ACRU,5,L,S7
2,ACRU,3.5,L,S7
2,ACRU,3.7,L,NA
2,ACRU,5.4,L,NA
2,ACRU,9.1,L,NA
2,ACRU,3.4,D,NA
2,ACRU,4.5,L,S6
2,ACRU,5.5,L,S6
2,ACRU,5.1,L,S6
2,ACRU,6.2,L,NA
2,ACRU,13.2,L,NA
2,ACRU,7.8,L,S5
2,ACRU,4.7,L,S5
2,ACRU,6.7,L,S4
2,ACRU,2.7,L,NA
2,ACRU,11.2,L,NA
2,ACRU,3.3,L,NA
2,ACRU,11.3,L,S3
2,ACRU,12.9,L,S3
2,ACRU,13.2,L,S3
2,ACRU,6.4,D,S3
2,ACRU,9.6,D,S3
2,ACRU,7.3,D,S2
2,ACRU,5.9,D,S2
2,ACRU,9.1,L,S2
2,ACRU,13.1,L,S2
2,ACRU,13.5,L,S2
2,ACRU,10,L,S2
2,ACRU,4,L,NA
2,QURU,3.5,L,NA
2,QURU,11.6,L,NA
2,QURU,6.8,L,NA
2,QURU,10.1,L,NA
2,QURU,6.2,L,NA
2,QURU,3.7,L,NA
2,QURU,3.9,L,NA
2,QURU,7.5,L,NA
2,QURU,7.8,L,NA
2,QURU,5.4,L,NA
2,QURU,7.2,L,NA
2,QURU,5.5,L,NA
2,QURU,15.9,L,NA
2,QURU,30.4,L,NA
2,QURU,7.2,L,NA
2,QURU,21.8,L,S1
2,QURU,17.6,L,S1
2,QURU,6.7,L,NA
2,QURU,4.6,L,NA
2,QURU,10.6,D,NA
2,QURU,7.2,D,NA
2,PIST,5.2,D,NA
2,PIST,7.2,L,NA
2,PIST,9.4,L,NA
2,PIST,8.8,L,NA
2,PIST,22.4,L,NA
2,PIST,13.2,L,NA
2,ACRU,11.5,L,S13
2,ACRU,9.9,L,S14
2,ACRU,8.7,L,S14
2,ACRU,18.2,L,S14
2,ACRU,8.2,L,S14
2,ACRU,8.1,L,S14
2,ACRU,4.3,L,NA
2,ACRU,23.2,L,NA
2,ACRU,23.3,L,S15
2,ACRU,13.1,L,S15
2,ACRU,6.5,L,S16
2,ACRU,10.8,L,S16
2,ACRU,9.4,L,S17
2,PRSE,9.5,D,NA
2,PRSE,6.4,D,NA
2,PRSE,5,L,NA
2,PRSE,12.7,L,NA
2,PRSE,7.6,L,NA
2,PRSE,2.5,L,NA
2,PRSE,22.3,L,NA
2,PRSE,10.7,L,NA
2,BEPO,9.7,L,NA
2,BEPO,2.9,L,S23
2,BEPO,14.2,L,S23
2,BEPO,9.6,L,S22
2,BEPO,11.3,L,S22
2,BEPA,14.8,D,NA
2,BEPA,7,D,NA
2,BEPA,24.4,L,NA
2,ACRU,7,L,S17
2,ACRU,7.3,L,S13
2,BELE,8.2,L,NA
2,BEAL,9.1,L,NA
2,ACRU,4.8,L,S21
2,ACRU,5.4,L,S21
2,ACRU,9.4,L,S20
2,ACRU,6,L,S20
2,ACRU,7,L,S19
2,ACRU,7.7,L,S19
2,ACRU,5,L,NA
2,ACRU,3.1,L,NA
2,ACRU,2.7,L,NA
2,ACRU,7.9,D,S18
2,ACRU,14.7,L,S18
2,ACRU,9.2,L,S17
2,ACRU,13.4,L,S17
3,TSCA,10.9,L,NA
3,TSCA,3.9,L,NA
3,ACRU,9.1,L,S1
3,ACRU,3.5,L,S1
3,ACRU,4.7,L,S2
3,ACRU,5.6,L,S2
3,ACRU,10.8,L,S2
3,ACRU,5.1,L,S2
3,ACRU,4.2,L,NA
3,ACRU,30.2,L,S3
3,ACRU,3.9,D,S3
3,ACRU,3.5,D,S3
3,ACRU,6.5,L,NA
3,ACRU,7.1,L,S4
3,ACRU,5.5,L,S4
3,ACRU,4.7,D,NA
3,ACRU,4.7,L,NA
3,ACRU,3,D,NA
3,ACRU,3.5,D,NA
3,ACRU,10.6,L,S5
3,ACRU,4,L,S5
3,ACRU,11.2,L,S5
3,ACRU,5,L,S5
3,ACRU,4.5,D,S5
3,ACRU,6.3,L,S5
3,BEAL,9.9,L,NA
3,BEAL,3.2,L,NA
3,BEAL,4.6,L,NA
3,BEAL,3.8,L,NA
3,BEAL,3.9,L,NA
3,BEAL,2.7,L,NA
3,BEAL,3,L,NA
3,BEAL,18.2,L,NA
3,BEAL,8.2,L,NA
3,BEAL,16.2,L,NA
3,BELE,4.6,L,NA
3,BEPA,9,D,NA
3,FAGR,2.5,L,NA
3,QURU,9.5,L,NA
3,PRSE,6.2,L,NA
3,CADE,4.2,L,NA
3,TSCA,45.2,L,NA
3,TSCA,21.3,L,S7
3,TSCA,34,L,S7
3,TSCA,29.3,L,NA
3,TSCA,36.7,L,NA
3,TSCA,11.6,L,S6
3,TSCA,20.8,L,S6
3,TSCA,2.5,L,NA
3,TSCA,5,L,NA
3,TSCA,2.5,L,NA
3,FAGR,4,L,NA
3,QURU,5.1,L,NA
3,TSCA,22,L,NA
3,TSCA,31,L,NA
3,TSCA,3.2,L,NA
3,TSCA,3.3,L,NA
3,TSCA,13,D,NA
3,QURU,18.5,L,NA
3,FAGR,4.2,L,NA
3,QURU,22.4,L,NA
3,QURU,34.6,L,NA
3,QUAL,11.2,L,NA
3,PIST,51.3,L,NA
3,PIST,53.6,L,NA
3,PIST,35.1,L,NA
4,ACRU,3.8,L,S1
4,ACRU,5.4,L,S1
4,ACRU,2.8,L,NA
4,ACRU,7,L,NA
4,BEAL,17,L,S2
4,BEAL,3.9,D,S2
4,BEAL,6.4,D,S2
4,BEAL,9.8,L,S3
4,BEAL,4.6,D,S3
4,BEAL,5.3,L,S3
4,BEAL,39.6,L,S4
4,BEAL,11.9,L,S4
4,BEAL,2.9,L,NA
4,BEAL,10.6,L,NA
4,BEAL,2.9,L,NA
4,BEAL,4.2,L,NA
4,BEAL,19.7,L,S5
4,BEAL,22.1,D,S5
4,BEAL,7.3,L,NA
4,BEAL,9.9,L,NA
4,BEAL,7.1,L,S6
4,BEAL,4.3,D,S6
4,BEAL,7.7,D,S6
4,BEAL,18,L,S6
4,BEAL,16,L,S6
4,BEAL,11.6,L,S6
4,BEAL,13.7,L,NA
4,BEAL,16,L,S7
4,BEAL,17.2,L,S7
4,BEAL,9,L,S7
4,BEAL,10.6,L,NA
4,BEAL,9.7,L,S8
4,BEAL,15.8,L,S8
4,BEAL,12.6,L,NA
4,BEAL,3.8,L,S9
4,BEAL,14.5,L,S9
4,BEAL,7.7,L,S10
4,BEAL,5.6,D,S10
4,BEAL,8.1,L,S10
4,BEAL,13.1,L,S11
4,BEAL,7.7,L,S11
4,BEAL,8.1,D,S11
4,BEAL,3.3,L,NA
4,BEAL,9.4,L,S12
4,BEAL,19.7,L,S12
4,BEAL,14.3,L,S12
4,BEAL,10.9,L,S12
4,BEAL,16.8,L,S12
4,BEAL,19.1,L,NA
4,BEAL,4.8,L,NA
4,BEAL,16,L,NA
4,BEAL,5.5,L,NA
4,BEAL,14.1,L,NA
4,BEAL,8.7,L,NA
4,BEAL,27.2,L,NA
4,BEAL,6,D,NA
4,BEAL,7.8,L,S13
4,BEAL,4,D,S13
4,BEAL,28.1,L,NA
4,TSCA,11.2,L,NA
4,TSCA,6.8,L,NA
4,TSCA,6.2,L,NA
4,TSCA,10.5,L,NA
4,TSCA,13.7,L,NA
4,TSCA,7.1,L,NA
4,TSCA,42.2,L,NA
4,TSCA,5.2,L,NA
4,TSCA,18.9,L,NA
4,TSCA,6.5,L,NA
4,TSCA,9.6,L,NA
4,TSCA,3.6,L,NA
4,TSCA,31.7,L,NA
4,FRAM,16.9,L,NA
4,FRAM,20.4,L,S14
4,FRAM,24.7,L,S14
4,FRAM,4,L,NA
